,CHF1,EUR1,USD1,EUR2,USD2
2014-04-26,1.13179816,1.38126,1,1.38126,1
2014-04-27,1.13186215,1.38158,1,1.38158,1
2014-04-28,1.13211821,1.37926,1,1.37926,1
2014-04-29,1.12990523,1.38045,1,1.38045,1
2014-04-30,1.13000736,1.3818,1,1.3818,1
2014-05-01,1.13179795,1.38317,1,1.38317,1
2014-05-02,1.13415333,1.38345,1,1.38345,1
2014-05-03,1.13417356,1.38342,1,1.38342,1
2014-05-04,1.1343528,1.38413,1,1.38413,1
2014-05-05,1.13533175,1.38505,1,1.38505,1
2014-05-06,1.13592479,1.38124,1,1.38124,1
2014-05-07,1.13155458,1.386555,1,1.386555,1
2014-05-08,1.13607962,1.38664,1,1.38664,1
2014-05-09,1.13720392,1.38704,1,1.38704,1
2014-05-10,1.13908192,1.38712,1,1.38712,1
2014-05-11,1.13888737,1.38726,1,1.38726,1
2014-05-12,1.13941287,1.38755,1,1.38755,1
2014-05-13,1.13908214,1.39265,1,1.39265,1
2014-05-14,1.14364139,1.39117,1,1.39117,1
2014-05-15,1.14142245,1.38375,1,1.38375,1
2014-05-16,1.13598285,1.3758,1,1.3758,1
2014-05-17,1.12809527,1.37579,1,1.37579,1
2014-05-18,1.12805709,1.37579,1,1.37579,1
2014-05-19,1.12790459,1.375835,1,1.375835,1
2014-05-20,1.12641157,1.37041,1,1.37041,1
2014-05-21,1.12340635,1.371425,1,1.371425,1
2014-05-22,1.12380388,1.37105,1,1.37105,1
2014-05-23,1.12237225,1.36943,1,1.36943,1
2014-05-24,1.12044959,1.3696,1,1.3696,1
2014-05-25,1.12049846,1.36975,1,1.36975,1
2014-05-26,1.12078098,1.37091,1,1.37091,1
2014-05-27,1.12066793,1.36985,1,1.36985,1
2014-05-28,1.12097573,1.36859,1,1.36859,1
2014-05-29,1.11939466,1.365595,1,1.365595,1
2014-05-30,1.11813049,1.36295,1,1.36295,1
2014-05-31,1.11653255,1.36303,1,1.36303,1
2014-06-01,1.11652009,1.36247,1,1.36247,1
2014-06-02,1.11632067,1.364415,1,1.364415,1
